time,x,y,z,phi,theta,psi,x_velocity,y_velocity,z_velocity,phi_velocity,theta_velocity,psi_velocity,rotor_speed1,rotor_speed2,rotor_speed3,rotor_speed4
0.06,-6.967557433692218e-08,-2.0249068776613507e-08,9.999240302608632,6.282822740338556,9.68430501595563e-05,0.0,-6.51430713567316e-06,-1.2358342026451431e-05,-0.02532343270657472,-0.022254580206726902,0.004661063519179211,0.0,394.8385931658355,395.26830084736247,396.2612293194657,394.21041669640863
0.12000000000000001,-4.230934657068375e-06,-1.3340818969092687e-05,10.00463998617206,6.28274655156428,0.0004869376263112457,0.0,-0.00017311651453626224,-0.0004962578427747071,0.20529964798972716,0.023359343724146112,0.009950103200901977,0.0,476.4371519572797,476.8412186704829,474.70389149350984,478.1904890108666
0.18,-2.8592836379792653e-05,-4.699207582417323e-05,10.021771363266817,0.0011120965250395187,0.0015130628380433109,0.0,-0.0007321642048272229,-0.00046118751346468597,0.365707819562778,0.030409122177951796,0.028528979661850074,0.0,455.0948818557021,456.5792280074783,455.3348836246956,455.8985305793817
0.23999999999999996,-0.00010966964693207892,-4.5146297258258716e-05,10.046264068377795,0.0031568053006880703,0.0034005710464493077,0.0,-0.002150478349089756,0.0007165717398276538,0.4506847111069212,0.04055751874152857,0.03675282133904356,0.0,431.49594968198016,432.18991299678794,432.25706598900365,433.1118049384536
0.3,-0.00030294096141809327,5.877581915625759e-05,10.072530919136087,0.00562081656506308,0.005452695864364365,0.0,-0.004469893348735069,0.002951722705758723,0.4248856614517565,0.042066273564778184,0.028539660157144996,0.0,395.139137547104,394.38202083785274,395.560074189233,395.7000853903407
0.36000000000000004,-0.0006943280143698928,0.0003658925081939859,10.1017139117184,0.007732358746565637,0.007186464160381156,0.0,-0.008757682811099994,0.00753562821566738,0.5478265388642637,0.015619611061720825,0.029599615120902544,0.0,443.69362903225704,443.7808700024322,446.01745497757025,443.8531037707108
0.4200000000000001,-0.0013746867231448075,0.000980982679093216,10.137547277468647,0.008512529593814655,0.008771672967962552,0.0,-0.01409261427134671,0.013054989922060164,0.6465656946905615,0.007175218385832979,0.01915271701699365,0.0,437.09669447728356,436.22549266079443,437.3753484269032,436.6714864127241
0.48000000000000015,-0.002382446299109001,0.0019197015368610734,10.17674136940795,0.009222692588831016,0.00982209638550291,0.0,-0.019597593712666686,0.018287594796228823,0.6598949049191107,0.019824270338260088,0.013994221704260703,0.0,408.7646926110197,408.3047611646408,408.7716073316406,409.896992894323
0.5400000000000001,-0.0037745115574557273,0.0032216428944063596,10.220347405915232,0.010474913430334354,0.010618228624355908,0.0,-0.02689132947925216,0.025240323231802742,0.7935536374890505,0.022884280958737943,0.011777247888197161,0.0,448.4385088717307,448.2582948281381,447.41119838555767,447.66021683960054
0.6000000000000002,-0.0056102312785133585,0.004958189905724179,10.27097828244146,0.012131028403048916,0.010979169648221543,0.0,-0.03435680555561953,0.03279973923195478,0.894066066010595,0.03567297831113635,-0.009161764786293176,0.0,438.5989729607254,436.8566512251861,437.23312281458124,438.2973379746501
0.6600000000000003,-0.007927781496713275,0.0072186345428158615,10.330316826268703,0.013964321765254084,0.011594816866917768,0.0,-0.04291465710079073,0.04277851418699957,1.083721222617327,0.017598295193555265,0.03375664507395,0.0,463.61357524883385,466.9731224365187,466.08040932712635,464.6660603329046
0.7200000000000003,-0.01074766396186549,0.010074901132582192,10.398123412461704,0.015157598538791284,0.013865349047781805,0.0,-0.05129823191406833,0.05254279899930174,1.1764024956275596,0.02411318013194475,0.044964670190214814,0.0,435.7756375269582,436.7121162796188,435.0903544212293,435.6353715648179
0.7800000000000004,-0.014133511415147694,0.013558074648220557,10.472486557922553,0.016544356300915553,0.01632787684128001,0.0,-0.06183609189842342,0.06371072719053629,1.302226915148978,0.021032681210099023,0.03174255101354363,0.0,446.4896646196907,445.41061634803935,447.0927075709076,446.84172393368004
0.8400000000000004,-0.018196330162719675,0.017735777058791573,10.554098890552506,0.01820600939810113,0.01811895028204713,0.0,-0.07378216565725136,0.07569867977579524,1.4180407851711816,0.038479100368067586,0.025772217573200886,0.0,444.4779642591046,443.988729446299,442.3369003215788,443.7713471690654
0.9000000000000005,-0.02303511936824126,0.022694390547611156,10.643892790597219,0.020196208809587723,0.019355351710753865,0.0,-0.08766394982888542,0.08982502172326817,1.5748777395364513,0.019576688348985183,0.007491864977079227,0.0,457.4830624325867,456.02529630741503,457.2596028505799,455.7518125426497
0.9600000000000005,-0.028693993593573337,0.02850317033933888,10.741221440164326,0.022111631791314146,0.020155601985510252,0.0,-0.10102808760061784,0.10396169666765218,1.6692715379557332,0.0492679541886101,0.023019366565946938,0.0,436.77940664457503,438.07226220788755,436.6638053147946,439.13383445814645
1.0200000000000005,-0.0352503152413941,0.0352891742727882,10.847927027770668,0.0248799181299173,0.021673798910928355,0.0,-0.11768298888681235,0.12257342661756128,1.8872341093881397,0.039002352232085015,0.029518564419406573,0.0,474.71432734038154,475.2128007354294,476.668366982288,475.8843794079043
1.0800000000000005,-0.04288475346079854,0.043302240714559945,10.969513878032386,0.02671404328253235,0.023886804251407767,0.0,-0.1370473960994799,0.14479783646842298,2.1651615532659796,0.002757573892140524,0.04858191767589372,0.0,493.55757860625573,494.96289666861344,494.20170417714047,491.5232767518663
1.1400000000000006,-0.05168615969751173,0.05262241189652335,11.105416072942862,0.026819245541998882,0.027017934580849,0.0,-0.1566772533471123,0.1658790903798327,2.364508890982716,-0.0003348973821073371,0.058560481477574894,0.0,471.5328868262231,472.30465630744953,472.02086335653485,471.7821263107527
